"filename", "language", "GDResource", "GDScript", "GDScene", "gdshader", "Python", "XML", "comment", "blank", "total"
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\model\m_rocks.tres", "GDResource", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\model\sm_rocks.glb.import", "GDResource", 45, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\texture\T_rocks_A_color.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\texture\T_rocks_B_color.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\texture\T_rocks_C_color.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\texture\T_rocks_C_emissive.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\texture\free_-_skybox_in_the_cloud.glb.import", "GDResource", 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\texture\free_-_skybox_in_the_cloud_0.jpg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\texture\ice_cluster2_free.glb.import", "GDResource", 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\Earth Bending - Tutorial\texture\ice_cluster2_free_0.png.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 6, 45
